PropertyType,ClassName,Element,Role
cit:AbstractCI_Party_PropertyType,CI_Responsibility,citedResponsibleParty,party
cit:CI_TelephoneTypeCode_PropertyType,CI_Telephone,phone,numberType
gco:CharacterString_PropertyType,MD_BrowseGraphic,,fileName
gco:CharacterString_PropertyType,MD_BrowseGraphic,,fileDescription
gco:CharacterString_PropertyType,MD_BrowseGraphic,,fileType
gco:CharacterString_PropertyType,MD_Identifier,,code
gco:CharacterString_PropertyType,MD_Identifier,,codeSpace
gco:CharacterString_PropertyType,MD_Identifier,,version
gco:CharacterString_PropertyType,MD_Identifier,,description
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,attributes
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,features
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,featureInstances
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,attributeInstances
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,dataset
gco:CharacterString_PropertyType,MD_ScopeDescription,levelDescription,other
mcc:Abstract_Constraints_PropertyType,MD_BrowseGraphic,,imageConstraints
mcc:Abstract_OnlineResource_PropertyType,MD_BrowseGraphic,,linkage
mcc:Abstract_Citation_PropertyType,MD_ApplicationSchemaInformation,,name
mcc:MD_ScopeCode_PropertyType,MD_Scope,,level
mcc:Abstract_Extent_PropertyType,MD_Scope,,extent
mcc:MD_ScopeDescription_PropertyType,MD_Scope,,levelDescription
gco:CharacterString_PropertyType,MD_Constraints,,useLimitation
gco:CharacterString_PropertyType,MD_LegalConstraints,,otherConstraints
gco:CharacterString_PropertyType,MD_Releasability,releasability,statement
gco:CharacterString_PropertyType,MD_SecurityConstraints,,userNote
gco:CharacterString_PropertyType,MD_SecurityConstraints,,classificationSystem
gco:CharacterString_PropertyType,MD_SecurityConstraints,,handlingDescription
mcc:MD_Scope_PropertyType,MD_Constraints,,constraintApplicationScope
mcc:MD_BrowseGraphic_PropertyType,MD_Constraints,,graphic
mcc:Abstract_Citation_PropertyType,MD_AssociatedResource,associatedResource,name
mco:MD_Releasability_PropertyType,MD_Constraints,,releasability
mcc:Abstract_Responsibility_PropertyType,MD_Usage,resourceSpecificUsage,userContactInfo
mcc:Abstract_Responsibility_PropertyType,MD_Releasability,releasability,addressee
mco:MD_RestrictionCode_PropertyType,MD_LegalConstraints,,accessConstraints
mco:MD_RestrictionCode_PropertyType,MD_LegalConstraints,,useConstraints
mco:MD_RestrictionCode_PropertyType,MD_Releasability,releasability,disseminationConstraints
mco:MD_ClassificationCode_PropertyType,MD_SecurityConstraints,,classification
mrc:MD_CoverageContentTypeCode_PropertyType,MD_AttributeGroup,attributeGroup,contentType
mrc:MD_RangeDimension_PropertyType,MD_AttributeGroup,attributeGroup,attribute
gco:Real_PropertyType,MD_Band,,boundMax
gco:Real_PropertyType,MD_Band,,boundMin
gco:Real_PropertyType,MD_Band,,peakResponse
gco:Real_PropertyType,MD_ImageDescription,,illuminationElevationAngle
gco:Real_PropertyType,MD_ImageDescription,,illuminationAzimuthAngle
gco:Real_PropertyType,MD_ImageDescription,,cloudCoverPercentage
gco:Real_PropertyType,MD_SampleDimension,,maxValue
gco:Real_PropertyType,MD_SampleDimension,,minValue
gco:Real_PropertyType,MD_SampleDimension,,scaleFactor
gco:Real_PropertyType,MD_SampleDimension,,offset
gco:Real_PropertyType,MD_SampleDimension,,meanValue
gco:Real_PropertyType,MD_SampleDimension,,standardDeviation
gmw:UomLength_PropertyType,MD_Band,,boundUnits
